US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Creative Type,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
8025872,8025872,,4700000,Aug 22 1986,,,Contemporary Fiction,43,5.1,7702
44853581,102053581,,28000000,Sep 16 1994,R,,Science Fiction,47,5.5,16570
53854588,75854588,,45000000,Aug 16 1996,R,105,Contemporary Fiction,69,6.1,17274
13000000,13000000,,3000000,Jul 16 1966,,,,81,6.6,8670
21284514,27688744,,20000000,Sep 27 1995,R,,Contemporary Fiction,87,6.8,18459
8000000,8000000,,3500000,Dec 31 1979,,,,33,5.5,2479
7888000,7888000,,3000000,Nov 20 1987,,,Fantasy,14,2.8,5207
18582965,18582965,,55000000,Aug 16 1996,R,117,Contemporary Fiction,40,5.6,20640
0,0,,2600000,Dec 07 2007,R,,Contemporary Fiction,38,5.3,2213
1110186,69826708,,12500000,Sep 03 2004,R,,Historical Fiction,,,
2210408,2477155,,250000,Jun 16 1995,R,,Contemporary Fiction,,5.8,1795
125169,125169,,10500000,Sep 02 1994,R,,Contemporary Fiction,,6.3,507
4064333,4064333,,25000000,Mar 01 1995,R,,Science Fiction,42,4.7,10772
176786701,353786701,,15000000,May 16 1986,,,Contemporary Fiction,45,6.5,80013
63600000,141200000,,9000000,Dec 29 1965,,,,91,7,27245
0,0,,2500000,Dec 31 2009,,,,,3.4,1113
24769466,55669466,,15000000,May 03 1996,R,100,Fantasy,45,5.9,21130
2500000,2500000,,325000,Dec 31 1933,,,,97,8.3,25074
50621733,110521733,,22000000,Jul 28 1995,PG-13,,Science Fiction,33,5.6,24363
886410,886410,,3500000,Apr 19 2000,R,,Historical Fiction,,6.1,584
19800,19800,,500000,Jul 11 2003,Not Rated,,,,4.4,74
13000000,13000000,,4000000,Nov 04 1988,,,Science Fiction,88,7,20995
11784569,11784569,,6000000,May 24 1995,R,,Contemporary Fiction,33,5.8,1860
37400000,37400000,,12000000,Nov 06 1981,,,Fantasy,94,6.9,22719
56505000,56505000,,25000000,Dec 25 1993,R,,Dramatization,77,7.7,43688
1500711,1500711,,825000,Oct 25 2002,PG,,Fantasy,22,5,1029
78656813,78656813,,25000000,Mar 22 1991,,,Fantasy,,5.3,12742
42273609,42273609,,21000000,Mar 19 1993,,,Fantasy,30,4.3,9064
63408614,63408614,,55000000,Dec 22 1989,,,Contemporary Fiction,39,5.8,25248
135265915,202000000,,13500000,Mar 30 1990,,,Fantasy,,6.4,25867
6000000,6000000,,4000000,Dec 19 1969,,,,71,6.2,6389
35856053,35856053,,14000000,Dec 09 1981,,,Contemporary Fiction,79,6.5,6515
16501785,24000785,,3100000,Jul 19 1996,R,94,Contemporary Fiction,89,8.2,150483
6800000,6800000,,5800000,Mar 07 1965,,,,83,7.8,4692
7190505,7190505,,18000000,Mar 22 1989,,,Contemporary Fiction,8,4.7,3427
617172,617172,,375000,May 21 1999,PG,,Factual,,6.9,3004
146282411,365300000,,100000000,Jul 15 1994,R,,Contemporary Fiction,69,7.2,80581
204859496,516816151,,100000000,Jul 02 1991,R,,Science Fiction,98,8.5,237477
506793,1058893,,1800000,Jan 07 2005,Not Rated,,,,7.4,1069
38019031,78019031,,6400000,Oct 26 1984,,,Science Fiction,100,8.1,179606
16667084,16667084,,10000000,Jan 19 1990,,,Science Fiction,88,7.2,29840
12281000,12281000,,12500000,Sep 10 1993,,,Contemporary Fiction,91,7.9,73829
26918576,26918576,,17000000,Jul 09 1982,,,Science Fiction,68,2.9,923
14400000,14400000,,4000000,Dec 31 1955,,,,60,6.7,1570
195043,195043,,25000,Jan 14 2000,Not Rated,,,,5.5,50
1161843,1161843,,200000,Feb 11 2000,NC-17,,Contemporary Fiction,,3.3,360
529766,529766,,15000000,Dec 01 1995,R,,Contemporary Fiction,33,6.6,12789
108766007,152266007,,40000000,Jul 24 1996,R,150,Contemporary Fiction,68,7.1,38577
119394839,261400000,,65000000,Jun 01 1990,,,Science Fiction,81,7.4,70355
37227,37227,,2000000,Jul 18 2003,Not Rated,,,,5.2,316
177200000,177200000,,15000000,Dec 17 1982,,,Contemporary Fiction,87,7.4,31669
25857416,31748615,,2500000,Oct 04 1996,PG,110,Historical Fiction,92,6.7,25916
7000000,7000000,,1200000,Oct 03 1955,,,,89,7.2,11580
111936388,216600000,,15000000,Dec 09 1988,,,Contemporary Fiction,33,,
241888385,495900000,,88000000,May 10 1996,PG-13,117,Contemporary Fiction,57,6,61665
116000000,139700000,,14000000,Dec 17 1974,,,,,,
21100000,21100000,,1000000,Feb 08 1976,,,Contemporary Fiction,98,8.6,155774
121016,121016,,5000000,Jun 13 2003,Not Rated,,,,6,456
191796233,361948825,,30000000,Nov 22 1995,G,,Kids Fiction,100,8.2,151143
29500000,29500000,,10000000,Jun 24 1983,,,Fantasy,67,6.3,12054
2483790,2483790,,18000000,Feb 23 1996,R,,Science Fiction,23,5.7,2284
6157157,6157157,,5000000,Jul 21 1989,,,,55,6.6,12676
9054736,15600000,,2700000,Jun 13 1997,R,,Contemporary Fiction,94,7,4041
50024083,104324083,,60000000,Jul 14 1995,R,,Contemporary Fiction,34,5.1,15218
76270454,76270454,,25000000,Jun 03 1987,,,Dramatization,81,8,86097
18826490,18826490,,20000000,Jul 31 1981,,,Historical Fiction,,4.9,1263
2938532,7017859,,7000000,Nov 12 2004,Not Rated,,Contemporary Fiction,,7.3,4155
2120439,2120439,,5952000,Feb 04 1983,,,Fantasy,,7.3,20080
659000,98754000,,7000000,Jul 12 1996,R,,Fantasy,,6.7,7393
146072,26146072,,20000000,Mar 27 1998,,,,,,
9132000,9132000,,2160000,Dec 31 1944,,,,,7.3,682
19637147,19637147,,14000000,Oct 27 1995,R,,Fantasy,11,4.3,8200
53977250,53977250,,16000000,Dec 08 1982,,,Contemporary Fiction,96,7.7,10864
23998226,23998226,,30000000,Aug 04 1995,R,,Science Fiction,34,5.3,11079
0,0,,500000,Nov 02 2001,R,,,,6.7,418
50327960,152627960,,30000000,May 24 1985,,,Contemporary Fiction,39,6.1,23770
2025032,2025032,,6500000,Oct 21 2005,PG-13,100,Historical Fiction,,5.6,365
4741987,4741987,,14000000,Mar 26 1999,R,,Historical Fiction,74,6.4,4125
3347647,3347647,,7500000,Nov 24 2004,PG,,Contemporary Fiction,17,6,531
16137,16137,,103000,Oct 03 2003,Not Rated,,,,5.1,82
10941801,10941801,,4000000,Feb 06 2004,Not Rated,,Factual,,,
2922988,2922988,,4000000,Jan 31 1997,R,,Contemporary Fiction,,7.4,14880
154112492,351500000,,70000000,Jun 22 1988,,,Fantasy,98,7.6,53541
34729091,34729091,,14000000,Jan 18 1991,,,Historical Fiction,67,,
10229300,10229300,,38000000,Feb 02 1996,PG-13,,Dramatization,63,6.4,8385
9170214,9170214,,11000000,Dec 25 1993,,,,88,7.8,51219
7369373,7369373,,2000000,Dec 31 1986,,,Fantasy,,5.2,1666
13000000,13000000,,24000000,Oct 24 1978,,,,37,4.5,4896
1287480,1615787,,1000000,Jul 17 1996,R,,Contemporary Fiction,86,6.5,1756
509424,509424,,6000000,Jun 18 1969,,,Historical Fiction,97,8.2,31196
43848100,43848100,,15000000,Dec 11 1987,,,Contemporary Fiction,78,7.3,35454
,,,25000000,Jan 01 1970,,,,,,
2000000,2000000,,1200000,Dec 23 1956,,,,89,7.5,7531
110719,110719,,150000,Jun 23 2000,R,,,,,
,,,2000000,Aug 12 2027,,,,96,7.9,3035
10555348,10555348,,20000000,Dec 15 1989,,,Contemporary Fiction,50,5.6,7839
65011757,131011757,,70000000,Jun 17 1994,R,,Fantasy,60,6,20035
6448817,6448817,,35000000,May 02 1997,PG,,Contemporary Fiction,10,4,1202
74433837,74433837,,12000000,Jun 03 1983,,,Science Fiction,,6.4,88
8824553,8824553,,7000000,Jan 10 1991,,,Science Fiction,,5.9,4921
12500000,12500000,,6000000,Dec 31 1955,PG,,,50,6.8,2923
3902679,3902679,,3000000,Sep 24 1993,,,Science Fiction,,4.9,1888
81525,7000000,,15300000,Sep 27 2002,R,,,,6.5,11647
43700000,43700000,,6000000,Oct 18 1961,,,,92,7.7,29488
1652472,2525984,,300000,Sep 20 1996,R,,Contemporary Fiction,,,
4198137,4726732,,800000,May 10 1996,R,,Contemporary Fiction,,7.3,13469
65532576,65532576,,12000000,Feb 08 1985,,,Contemporary Fiction,94,7.6,30460
88246220,264246220,,175000000,Jul 28 1995,PG-13,,Science Fiction,42,5.7,54126
4000000,4000000,,3000000,Jun 30 1971,,,,90,7.8,46824
121697323,183097323,,20000000,Feb 14 1992,PG-13,,Contemporary Fiction,84,6.9,42570
25052000,25052000,,63000000,Jun 24 1994,PG-13,,Dramatization,42,6.4,15614
28202232,28202232,,2777000,Aug 25 2039,G,103,Fantasy,,8.3,102795
56679192,122079192,,55000000,Mar 15 1996,R,132,Contemporary Fiction,65,6.3,18569
21750000,21750000,,4000000,Jan 01 1960,,,,67,6.8,3546
204632868,402500000,,12000000,Dec 26 1973,R,,Contemporary Fiction,84,8.1,103131
17378193,17378193,,38000000,Sep 27 1996,R,117,Contemporary Fiction,55,5.9,8038
4000000,4000000,,1644000,Dec 31 1937,,,,96,8,8597
26792700,26792700,,20000000,Jan 12 1996,R,101,Contemporary Fiction,,5.7,4837
44726644,44726644,,13000000,Aug 12 1988,,,Historical Fiction,40,6.6,21404
86300000,86300000,15500333,2800000,Dec 15 1974,,,,93,8,57106
39012241,39012241,,12000000,Nov 18 1983,,,,71,6.2,4952
43100000,111600000,,9500000,Jun 13 1967,,,,70,7,24701
16892,2066892,,300000,Jul 19 2002,Not Rated,,Factual,,7.3,181
19739000,19739000,,18000000,Dec 04 1985,,,Historical Fiction,63,6.5,7293
66941559,66941559,,85000000,Nov 22 2000,G,100,Kids Fiction,30,4.4,7147
38177966,38177966,,13000000,Mar 31 1999,PG-13,97,Contemporary Fiction,,6.9,61910
94784201,269065678,27044045,105000000,Mar 07 2008,PG-13,,Historical Fiction,9,5.8,134
54702,54702,,8000000,Aug 18 2006,Not Rated,,Dramatization,19,6.3,3655
0,0,,6000000,Aug 12 2005,R,,,,7.3,18261
80048433,170764033,29180398,25000000,Jan 18 2008,PG-13,,Science Fiction,76,7.4,136068
12234694,18184083,8283859,20000000,Mar 27 2009,PG-13,108,Contemporary Fiction,28,5.4,8914
3287435,3705923,,3000000,May 24 2002,R,,Contemporary Fiction,,7.1,6188
57139723,96439723,,30000000,Apr 23 2004,PG-13,98,Contemporary Fiction,,6.1,32634
41867960,68467960,,19000000,Oct 26 2001,R,91,Fantasy,,5.1,23243
71985628,128529299,49668544,22500000,Jun 22 2007,PG-13,102,Contemporary Fiction,78,6.9,72913
24375436,56331864,,42000000,Mar 09 2001,R,120,Contemporary Fiction,32,6.1,25566
10744,10744,,1000000,Sep 03 2010,,,Contemporary Fiction,,,
36895141,65595141,17523555,45000000,Mar 03 2006,PG-13,,Contemporary Fiction,55,6.7,41207
229311,229311,,18000000,Sep 24 1999,,,,,5.7,627
9055010,10419084,,30000000,Sep 24 2004,PG,,Contemporary Fiction,8,4.7,6839
166112167,766812167,50736023,200000000,Nov 13 2009,PG-13,158,Science Fiction,39,6.2,396
1442338,19202856,,12000000,Aug 05 2005,R,,Science Fiction,,7.5,19431
541636,541636,,66000,Feb 26 1999,R,,,,4.9,1423
81159365,157852532,25789928,35000000,Mar 21 2008,PG-13,,Contemporary Fiction,35,6.7,60918
16248701,60448701,,20000000,Nov 21 2003,R,,Contemporary Fiction,81,7.9,77910
13084595,23928503,,4500000,Dec 19 2002,R,,Contemporary Fiction,78,7.9,58781
37035515,62063972,,43000000,Apr 14 2000,PG-13,103,Contemporary Fiction,30,5.8,17937
45064915,82719885,,15000000,Jun 27 2003,R,113,Science Fiction,89,7.6,103525
28638916,64238440,24422887,15000000,May 11 2007,R,91,Science Fiction,,7.1,69558
18947630,39925603,,72000000,Jun 25 2004,PG,,Kids Fiction,77,6,127
44875481,44875481,11433110,37000000,Feb 26 2010,R,,Contemporary Fiction,19,5.7,16520
3149034,11549034,,12000000,Feb 13 2009,R,,Contemporary Fiction,,7.3,10325
22991379,27848418,,20000000,Oct 07 2005,R,123,Contemporary Fiction,,,
42023715,47855342,,30000000,Sep 19 2003,PG,111,Historical Fiction,60,7.5,19040
22235901,22391450,,13000000,Sep 07 2001,R,91,Contemporary Fiction,43,5.6,2370
93354918,199043309,,60000000,Dec 20 2002,PG-13,110,Contemporary Fiction,42,5.8,35515
210614939,456068181,261252400,60000000,Mar 09 2007,R,117,Historical Fiction,60,7.8,235508
39568996,75066323,26908243,30000000,Oct 19 2007,R,,Fantasy,49,6.6,52518
60652036,107752036,,48000000,Oct 01 1999,R,115,Historical Fiction,94,7.3,68726
15738632,18708848,,62000000,Feb 23 2001,R,,Contemporary Fiction,14,5.6,20094
9821335,9821335,,4000000,Mar 01 2000,R,,Contemporary Fiction,,2.9,905
53606916,69791889,51359371,48000000,Sep 02 2007,R,117,Historical Fiction,89,7.9,98355
37939782,95092667,,17000000,Mar 01 2002,R,96,Contemporary Fiction,38,5.4,27912
109449237,177339049,,26000000,Aug 19 2005,R,111,Contemporary Fiction,,7.5,94557
74494381,92494381,,30000000,Aug 12 2005,R,109,Contemporary Fiction,52,6.8,38311
120146040,163546040,26029004,80000000,Nov 26 2008,PG-13,,Contemporary Fiction,25,5.7,14690
18306166,29882645,,35000000,Sep 20 2002,PG-13,,Historical Fiction,41,6.3,13204
26218170,41826604,6244985,10000000,Nov 06 2009,PG-13,,Historical Fiction,17,6,16107
1196321,4723542,,900000,Jan 25 2008,Not Rated,,Historical Fiction,,,
120776832,196376832,,75000000,Feb 13 2004,PG-13,99,Contemporary Fiction,44,6.8,64701
134624,134624,,2000000,Sep 18 1998,PG-13,,,60,6.4,3462
34543701,96024898,,82000000,Nov 17 2000,PG-13,123,Science Fiction,40,5.8,32606
69951824,166617328,27601737,54000000,Dec 19 2008,PG-13,,Contemporary Fiction,27,7.6,62718
16930884,32955399,11385055,30000000,Apr 18 2008,R,106,Contemporary Fiction,5,5.9,31205
81612565,120612565,104578578,40000000,Feb 17 2006,PG,,Contemporary Fiction,71,7.3,17717
17266505,17266505,,30000000,Jul 17 2002,PG-13,,Contemporary Fiction,47,5.4,18173
116724075,242924075,,41000000,Nov 08 2002,R,110,Contemporary Fiction,74,6.7,55877
3076425,42376425,,8000000,Sep 20 2002,R,,Contemporary Fiction,,7,13631
31749894,46603791,8655698,30000000,Sep 09 2009,PG-13,,Fantasy,,7.8,1488
1222889,12412889,,1500000,Apr 19 2002,R,,Contemporary Fiction,,,
16323969,26323969,,30000000,Apr 09 2004,PG-13,,Contemporary Fiction,4,5.1,20807
57262492,85262492,,24000000,Feb 18 2000,R,99,Contemporary Fiction,45,6.6,42928
40803000,129949664,,27000000,May 17 2002,PG-13,101,Contemporary Fiction,93,7.4,48875
162798565,363109485,,45000000,Nov 20 1998,G,96,Fantasy,91,7.3,56866
10719367,12219367,,25000000,Oct 18 2002,PG-13,,Contemporary Fiction,17,4.8,5361
50068310,50068310,,50000000,Feb 14 1997,R,120,Contemporary Fiction,46,6.5,20154
1253413,3061763,,4750000,Jan 27 2006,R,,Contemporary Fiction,,,
294244,294244,,4000000,May 08 2009,,,,,6.3,1437
22498520,22498520,,18500000,Dec 06 2002,R,,Contemporary Fiction,91,7.9,67135
3203044,13203044,,18000000,Sep 19 2003,R,,Contemporary Fiction,40,6.4,13010
21078145,23367586,,12500000,Dec 19 2002,PG-13,,Dramatization,79,7.3,13258
25857987,47953341,21927972,55000000,Dec 02 2005,PG-13,88,Science Fiction,10,8.1,1193
28328132,38329114,,57000000,Nov 12 2004,PG-13,97,Contemporary Fiction,18,6.2,19793
7459300,42064105,7342760,35000000,Nov 10 2006,PG-13,118,Contemporary Fiction,24,6.8,23149
599903,32912303,,70000000,May 28 2010,R,141,Historical Fiction,,7.3,10054
24646936,27555061,,3000000,Aug 01 1997,PG,97,Kids Fiction,45,4.6,4698
172956409,315268353,,85000000,Jul 25 1997,R,124,Contemporary Fiction,78,6.3,61394
18848430,18948425,25684049,8000000,Apr 28 2006,PG,,Contemporary Fiction,83,7.6,8245
7221458,9521458,,55000000,Sep 22 2006,PG-13,128,Historical Fiction,11,6,11994
22406362,23911362,,92000000,Apr 09 2004,PG-13,137,Dramatization,30,5.9,10063
25482931,25873145,,14000000,Mar 08 2002,R,95,Contemporary Fiction,29,5.3,4366
353480,353480,,5000000,Jan 17 1997,R,,,,5.9,4377
127214072,163379330,,38000000,Sep 27 2002,PG-13,109,Contemporary Fiction,37,5.8,29891
48114556,48563556,,45000000,Dec 25 2004,PG,93,Contemporary Fiction,21,4,4801
334191110,1023291110,70909558,200000000,Mar 05 2010,PG,,Fantasy,51,6.7,63458
13395939,35195939,,40000000,Nov 05 2004,R,,Contemporary Fiction,49,6.1,20769
120620,1470620,,2000000,Apr 15 2005,R,,Dramatization,,7.3,7631
58183966,84383966,,109000000,Dec 25 2001,R,159,Dramatization,67,6.6,31785
47795018,160700000,,60000000,Nov 26 1997,R,108,Science Fiction,,6.2,66141
80930630,203630630,,9000000,May 25 1979,R,,Science Fiction,97,8.5,180387
21835784,47835784,,25000000,Apr 22 2005,PG-13,,Contemporary Fiction,41,6.4,17929
15527125,18120267,,45000000,Dec 25 2000,PG-13,,Historical Fiction,32,5.7,6511
32522352,47371191,,60000000,Sep 15 2000,R,123,Dramatization,88,8,94424
100289690,173219280,38038256,175000000,Jun 22 2007,PG,78,Fantasy,23,5.5,43164
242704995,485004995,,81000000,May 23 2003,PG-13,101,Fantasy,48,6.6,92494
184255,184255,,9000000,Oct 25 2002,R,,,,,
5178569,8178569,,20000000,Jan 28 2005,R,96,Fantasy,1,2.3,26028
10115431,10115431,,20000000,Sep 17 2010,PG,,Kids Fiction,,6.2,83
74058698,105159085,,28000000,Apr 06 2001,R,103,Contemporary Fiction,32,6.1,22994
1779284,1779284,,12000000,Jun 14 2002,R,,Contemporary Fiction,77,6.9,7943
0,22860477,,28000000,Dec 31 2007,,135,Historical Fiction,,5.9,4944
217326974,360578644,137516182,55000000,Dec 14 2007,PG,92,Kids Fiction,27,5.5,19200
14208384,15358583,,30000000,Jun 20 2003,PG-13,,Contemporary Fiction,11,5.4,6539
34297191,167297191,,155000000,Nov 24 2004,R,175,Dramatization,16,5.4,59498
5719000,5719000,,1800000,Nov 15 2002,R,,Historical Fiction,,,
130058047,356258047,,15000000,Sep 15 1999,R,118,Contemporary Fiction,89,8.6,292562
7013191,7013191,,20000000,Oct 03 2008,PG-13,84,Fantasy,12,4.5,6000
7314027,16510971,,17000000,Apr 21 2006,PG-13,,Contemporary Fiction,40,5.7,15097
14246488,19722782,5763807,40000000,Oct 23 2009,PG,,Dramatization,21,5.7,3238
33201661,174201661,,10350000,Nov 02 2001,R,122,Contemporary Fiction,,8.5,181085
6719864,6719864,,10000000,Oct 30 1998,R,,Contemporary Fiction,83,8.6,224857
130164645,265697825,72653959,100000000,Nov 02 2007,R,157,Dramatization,79,7.9,114060
16298046,27844063,9905802,14000000,May 05 2006,PG-13,,Historical Fiction,12,4.9,13510
44212592,44212592,,40000000,Dec 12 1997,R,152,Dramatization,77,7.1,28477
927107,927107,,6800000,Aug 11 2000,Not Rated,,Dramatization,,7.2,2974
5383834,20883834,,2000000,Mar 30 2001,R,,Contemporary Fiction,,8.1,61083
145096820,286500000,,30000000,Aug 10 2001,R,105,Contemporary Fiction,52,6.2,66751
104354205,126425115,,55000000,Aug 01 2003,R,96,Contemporary Fiction,56,6.1,52210
101800948,234800000,,12000000,Jul 09 1999,R,95,Contemporary Fiction,59,6.9,106624
15070285,28674417,,8000000,Apr 14 2000,R,,Historical Fiction,66,7.4,99424
6003587,7978681,,2000000,Aug 15 2003,R,,Contemporary Fiction,94,7.6,23686
93607673,157627733,,46000000,Jul 20 2001,PG-13,103,Contemporary Fiction,32,5.7,26899
65233369,108047131,,18500000,Apr 15 2005,R,89,Historical Fiction,24,5.8,26303
31526393,70326393,,25000000,Aug 27 2004,PG-13,97,Contemporary Fiction,,4.3,9565
65598907,136998907,,45000000,Apr 11 1997,PG-13,89,Contemporary Fiction,38,4.2,29430
58403409,139801410,,53000000,Nov 14 1997,G,94,Factual,85,6.6,16513
84136909,89366354,,25000000,Jul 09 2004,PG-13,104,Historical Fiction,,7,78249
133375846,485975846,32746864,150000000,May 15 2009,PG-13,,Contemporary Fiction,35,6.7,60114
13038660,13038660,,25000000,Dec 24 1999,R,,Historical Fiction,52,7,10185
24044532,24044532,,38000000,May 18 2001,R,103,Contemporary Fiction,32,5.5,11089
135560942,195660942,,56000000,Apr 11 2003,PG-13,106,Contemporary Fiction,43,6.1,57088
30331165,30331165,,17000000,Oct 02 1998,PG-13,81,Contemporary Fiction,11,5.7,23259
55762229,55762229,,22000000,Jun 01 2001,PG-13,83,Contemporary Fiction,30,4.6,18601
39251128,39251128,,75000000,Dec 17 1999,PG-13,147,Dramatization,51,6.5,14881
32122249,54994757,,60000000,Dec 06 2002,R,96,Contemporary Fiction,27,5.6,24090
106885658,176885658,,30000000,Mar 05 1999,R,103,Contemporary Fiction,68,6.6,52894
28142535,55181129,28562108,45000000,Jul 28 2006,PG,,Kids Fiction,63,6.2,7766
10965209,10965209,,30000000,Jan 12 2001,PG-13,,Contemporary Fiction,25,6,16263
15962471,60862471,16636006,40000000,Oct 20 2006,PG-13,,Dramatization,55,6.4,31877
90757863,152457863,,60000000,Oct 02 1998,PG,83,Kids Fiction,95,6.8,37343
18653615,18653615,,23000000,Nov 12 1999,PG-13,114,Contemporary Fiction,64,5.9,8514
20211394,26111394,10698987,20000000,Sep 19 2008,R,,Historical Fiction,76,6.8,22836
50866635,117785051,43318599,40000000,Dec 08 2006,R,136,Historical Fiction,64,7.9,82162
2528664,3284124,,300000,Oct 17 2003,PG-13,,Contemporary Fiction,85,7.2,12153
20733485,21277770,,5000000,Dec 17 1997,PG-13,148,Contemporary Fiction,91,7.1,7757
18597342,22978953,29637202,17000000,Mar 03 2006,PG,,Fantasy,52,4.6,9116
1693000,1693000,,15500000,Nov 15 2002,R,,Contemporary Fiction,56,6.6,6763
82674398,97918663,,20000000,Jan 21 2005,PG,94,Kids Fiction,12,4.2,8740
24419219,24419219,,21500000,Jul 09 1999,R,117,Contemporary Fiction,60,7.2,36051
201578182,554600000,,140000000,Jul 01 1998,PG-13,150,Contemporary Fiction,42,6.1,194
13684949,13684949,,10000000,Jun 28 2002,PG,,Kids Fiction,30,5.3,1629
5881504,6429865,,39000000,Feb 20 2004,PG-13,,Dramatization,12,5.2,3547
51877963,203877963,,90000000,Jul 07 2004,PG-13,126,Historical Fiction,31,6.2,53106
15132763,110102340,13012362,80000000,Dec 15 2006,PG,122,Fantasy,,5.9,7626
78616689,235900000,,90000000,Jun 29 2001,PG-13,146,Science Fiction,,6.9,91901
30199105,30199105,,40000000,Aug 25 2000,R,117,Contemporary Fiction,16,5.5,12484
19551067,44093014,7166365,65000000,Oct 23 2009,PG,94,Super Hero,,6.4,5265
9228788,30710147,3614635,7000000,Oct 02 2009,R,,Historical Fiction,88,7.2,32396
11003643,11003643,13774930,13000000,Feb 23 2007,PG,109,Contemporary Fiction,,6.4,10506
148478011,314111923,,50000000,Dec 24 1997,PG-13,138,Contemporary Fiction,85,7.8,92240
9176000,19112672,2010869,7000000,Dec 11 2009,R,,Historical Fiction,85,7.6,14548
16316273,16316273,,17000000,Dec 11 1998,R,121,Contemporary Fiction,90,7.6,29095
20040895,36040895,,30000000,Jan 19 2005,R,,Contemporary Fiction,60,7.4,13456
10672566,10672566,,34000000,Aug 27 1999,R,,Science Fiction,16,4.9,20259
77222099,176047914,,110000000,Jun 11 2010,PG-13,119,,47,7.2,29886
22365133,22365133,,40000000,Jan 15 1999,PG-13,128,Contemporary Fiction,33,5.6,6872
5520368,5520368,12134593,750000,Apr 13 2007,R,,Science Fiction,,,
21170563,21170563,29368071,17000000,Mar 31 2006,PG-13,,Contemporary Fiction,63,4.7,5480
84052762,186049020,,90000000,Jun 08 2001,PG,96,Kids Fiction,,6.4,15552
24185781,30885781,,31000000,Sep 28 2001,PG-13,101,Fantasy,49,6.8,16336
37752931,90717684,,40000000,Aug 11 2000,PG-13,106,Contemporary Fiction,21,4.8,9309
50980159,129425746,15678677,30000000,Dec 07 2007,R,130,Contemporary Fiction,83,7.9,75491
6525762,11799060,,4000000,Oct 11 2002,R,,Contemporary Fiction,44,6.7,26634
31664162,65627510,22082092,25000000,Nov 17 2007,PG,113,Fantasy,37,7.5,28650
24343673,29367143,25759408,45000000,Sep 14 2007,PG-13,133,Historical Fiction,53,7.5,45611
206040085,309600000,,35000000,Jun 10 1999,PG-13,95,Historical Fiction,,6.6,81005
213117789,292738626,,63000000,Jul 25 2002,PG-13,94,Science Fiction,54,6.2,69140
53883989,67683989,,18000000,May 02 1997,PG-13,89,Contemporary Fiction,,7.1,74487
49551662,207482792,28789275,78000000,Nov 26 2008,PG-13,,Historical Fiction,54,6.8,38089
2062066,2703821,,7000000,Oct 18 2002,R,,Dramatization,72,6.6,7236
760167650,2767891499,146153933,237000000,Dec 18 2009,PG-13,,Science Fiction,83,8.3,261439
23385416,48585416,,60000000,Aug 14 1998,PG-13,91,Contemporary Fiction,15,3.4,21432
102608827,214608827,,110000000,Dec 17 2004,PG-13,170,Dramatization,88,7.6,85740
80281096,172543519,,70000000,Aug 13 2004,PG-13,101,Science Fiction,,5.4,63019
24004159,72004159,,110000000,Jun 16 2004,PG,120,Historical Fiction,30,5.6,21516
14373825,30757745,13038208,8600000,Nov 30 2007,R,,Contemporary Fiction,24,6.5,26076
1071240,2476491,,8000000,Jun 06 2008,PG-13,,Dramatization,,6.8,1798
9451946,10108016,3788940,21000000,Jun 05 2009,R,98,Contemporary Fiction,66,7.3,14929
54997476,104488383,,50000000,Sep 28 2001,R,113,Contemporary Fiction,23,6.1,22157
18319860,69131860,,80000000,Nov 25 1998,G,75,Kids Fiction,61,6.1,9918
34302837,135302837,31459208,20000000,Oct 27 2006,R,,Contemporary Fiction,69,7.6,95122
22532572,70216497,16787309,45000000,Aug 29 2008,PG-13,100,Science Fiction,7,5.3,27189
17321573,17322212,,12000000,Jan 09 2004,PG-13,,Contemporary Fiction,,4,2010
9109322,9109322,,20000000,Aug 27 2004,PG,,Kids Fiction,,1.4,10886
27151490,27151490,,13000000,Mar 12 1999,PG,94,Kids Fiction,2,2.2,9038
138540870,272940870,,130000000,Jul 18 2003,R,147,Contemporary Fiction,24,6.2,58002
30157016,69157016,,70000000,Jun 07 2002,PG-13,117,Contemporary Fiction,10,5.3,17901
5211842,40311842,,5000000,Nov 19 2004,NC-17,,Historical Fiction,,7.5,21756
1702112,8162545,3902817,25000000,Nov 20 2009,R,,Contemporary Fiction,87,,
32868349,33500620,,35000000,Jul 22 2005,PG-13,,Contemporary Fiction,,7.1,7749
60355347,163415735,19163475,37000000,Sep 12 2008,R,,Contemporary Fiction,78,7.2,92553
15325127,15471969,,35000000,Sep 15 2000,R,,Contemporary Fiction,26,5.6,5143
21799652,21799652,,16000000,Jun 16 2000,PG-13,94,Contemporary Fiction,11,4.9,7779
5241315,5241315,,10000000,Apr 05 2000,R,,Contemporary Fiction,,6.6,452
15298133,46598133,15494886,45000000,Sep 05 2008,R,98,Contemporary Fiction,9,5.4,20931
30306281,38067218,,10000000,Sep 20 2002,R,98,Contemporary Fiction,47,5.5,7435
8460000,8460000,,5000000,May 09 2003,R,,Contemporary Fiction,,7.8,14322
11156471,11156471,,15000000,Apr 03 1998,G,,Kids Fiction,,2.1,1456
5946136,35417162,6188980,70000000,Mar 31 2006,R,,Contemporary Fiction,7,3.9,16784
26599248,42598498,,50000000,Mar 28 2003,R,98,Contemporary Fiction,21,6.3,25960
