Effect Amount of damage,Flight Date,Phase of flight,Wildlife Size,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
None,1994.10.27,Take-off run,Medium,Dawn,0,0,0,125
None,1994.10.27,Climb,Medium,Night,0,0,0,230
None,1994.10.27,Landing Roll,Small,Day,0,0,0,100
None,1994.10.27,Take-off run,Small,Day,0,0,0,100
None,1994.10.29,Approach,Medium,Night,783,0,783,
None,1994.10.29,Approach,Small,Day,0,0,0,
None,1994.10.30,Approach,Medium,Dawn,0,0,0,135
None,1994.10.30,Approach,Medium,Night,0,0,0,170
None,1994.10.30,Approach,Small,Day,0,0,0,
None,1994.10.31,Climb,Small,Day,0,0,0,140
None,1994.10.31,Approach,Small,Night,0,0,0,133
None,1994.11.1,Take-off run,Large,Night,0,0,0,
Substantial,1994.11.1,Approach,Medium,Day,0,0,0,
None,1994.11.2,Climb,Medium,Night,0,0,0,160
Minor,1994.11.3,Landing Roll,Large,Night,0,0,0,
None,1994.11.3,Approach,Small,Day,0,0,0,140
None,1994.11.4,Approach,Medium,Day,0,0,0,125
None,1994.11.5,Climb,Small,Day,0,0,0,120
None,1994.11.6,Climb,Small,Day,0,0,0,130
None,1994.11.7,Approach,Medium,Night,0,0,0,200
None,1994.11.7,Landing Roll,Small,Day,0,0,0,140
None,1994.11.7,Approach,Small,Night,0,0,0,160
Substantial,1994.11.8,Descent,Large,Day,0,25046,25046,200
Minor,1994.11.8,Landing Roll,Medium,Day,0,0,0,145
None,1994.11.8,Approach,Medium,Day,0,0,0,
None,1994.11.9,Landing Roll,Small,Day,0,0,0,105
None,1994.11.9,Approach,Small,Night,0,0,0,
None,1994.11.9,Approach,Small,Night,0,0,0,135
None,1994.11.10,Approach,Medium,Night,0,0,0,210
None,1994.11.10,Approach,Small,Night,0,0,0,150
None,1994.11.11,Approach,Medium,Night,0,0,0,250
None,1994.11.11,Approach,Medium,Night,0,0,0,
None,1994.11.11,Approach,Medium,Night,0,0,0,
None,1994.11.11,Climb,Medium,Night,0,0,0,200
None,1994.11.11,Climb,Small,Day,0,0,0,200
None,1994.11.12,Approach,Small,Day,0,0,0,130
None,1994.11.12,Landing Roll,Small,Night,0,0,0,
None,1994.11.13,Climb,Medium,Day,0,0,0,190
None,1994.11.13,Approach,Medium,Night,0,0,0,200
None,1994.11.13,Approach,Medium,Night,0,0,0,210
Substantial,1994.11.14,Approach,Large,Day,0,0,0,140
None,1994.11.14,Landing Roll,Medium,Day,0,0,0,
None,1994.11.14,Approach,Medium,Night,0,0,0,130
None,1994.11.14,Climb,Medium,Night,0,0,0,160
None,1994.11.14,Approach,Small,Night,0,0,0,120
None,1994.11.14,Approach,Small,Night,0,0,0,180
None,1994.11.15,Approach,Medium,Day,0,0,0,135
None,1994.11.15,Approach,Medium,Dusk,0,0,0,139
None,1994.11.15,Descent,Small,Day,0,0,0,
None,1994.11.16,Approach,Medium,Night,0,0,0,250
None,1994.11.16,Climb,Small,Night,0,0,0,200
None,1994.11.17,Approach,Small,Night,0,0,0,140
None,1994.11.18,Approach,Small,Night,0,0,0,150
None,1994.11.18,Landing Roll,Small,Night,0,0,0,
Substantial,1994.11.19,Approach,Large,Night,0,391338,391338,150
None,1994.11.20,Take-off run,Large,Day,0,0,0,110
None,1994.11.21,Take-off run,Medium,Day,0,0,0,
None,1994.11.21,Climb,Medium,Dusk,0,0,0,
Medium,1994.11.21,Take-off run,Medium,Night,0,0,0,
None,1994.11.21,Approach,Small,Night,0,0,0,130
None,1994.11.21,Climb,Small,Night,0,0,0,150
None,1994.11.22,Approach,Medium,Night,0,0,0,230
None,1994.11.23,Climb,Medium,Day,0,0,0,140
None,1994.11.23,Approach,Medium,Night,0,0,0,170
None,1994.11.23,Approach,Small,Night,0,0,0,130
None,1994.11.26,Landing Roll,Small,Day,0,0,0,90
None,1994.11.27,Take-off run,Medium,Night,0,0,0,
None,1994.11.27,Take-off run,Small,Day,0,0,0,100
None,1994.11.28,Climb,Small,Day,0,0,0,
None,1994.11.29,Approach,Medium,Dusk,0,0,0,160
None,1994.11.29,Approach,Small,Day,0,0,0,
None,1994.11.29,Climb,Small,Day,0,0,0,160
None,1994.11.29,Take-off run,Small,Day,0,0,0,130
Minor,1994.11.30,Climb,Medium,Day,0,0,0,170
None,1994.11.30,Approach,Medium,Night,0,0,0,210
None,1994.12.1,Landing Roll,Medium,Day,0,0,0,130
None,1994.12.2,Climb,Small,Day,0,0,0,125
None,1994.12.5,Approach,Small,Day,0,0,0,140
None,1994.12.6,Take-off run,Large,Day,0,0,0,120
None,1994.12.7,Landing Roll,Small,Day,0,0,0,120
None,1994.12.9,Approach,Medium,Night,0,0,0,
None,1994.12.10,Take-off run,Medium,Day,0,0,0,110
None,1994.12.11,Landing Roll,Small,Day,0,0,0,120
None,1994.12.13,Take-off run,Small,Day,0,0,0,145
None,1994.12.14,Take-off run,Small,Day,0,0,0,130
None,1994.12.16,Take-off run,Small,Day,0,0,0,145
None,1994.12.21,Landing Roll,Medium,Day,0,0,0,150
None,1994.12.27,Climb,Medium,Day,0,0,0,145
None,1994.12.28,Climb,Medium,Dawn,0,0,0,160
None,1994.12.28,Climb,Medium,Dawn,0,0,0,150
None,1994.12.28,Take-off run,Medium,Day,0,0,0,126
None,1994.12.30,Approach,Small,Night,0,0,0,120
Substantial,1994.12.31,Approach,Medium,Day,0,0,0,
Minor,1995.1.1,Approach,Medium,Day,0,0,0,140
None,1995.1.1,Take-off run,Small,Day,0,0,0,100
None,1995.1.2,Landing Roll,Medium,Day,0,0,0,
Substantial,1995.1.2,Approach,Medium,Night,0,0,0,140
Minor,1995.1.4,Approach,Medium,Day,0,0,0,
None,1995.1.7,Landing Roll,Medium,Day,0,0,0,100
None,1995.1.7,Take-off run,Medium,Day,0,0,0,
None,1995.1.10,Approach,Medium,Day,0,0,0,128
None,1995.1.10,Approach,Medium,Day,0,0,0,128
None,1995.1.10,Take-off run,Medium,Day,0,0,0,
None,1995.1.12,Take-off run,Medium,Night,0,0,0,
None,1995.1.14,Landing Roll,Medium,Day,0,0,0,
None,1995.1.19,Approach,Small,Day,0,0,0,130
Substantial,1995.1.21,Landing Roll,Medium,Night,76232,228695,304927,100
None,1995.1.22,Approach,Small,Day,0,0,0,70
None,1995.1.24,Approach,Medium,Night,0,0,0,142
Minor,1995.1.25,Take-off run,Large,Night,0,0,0,
None,1995.1.25,Approach,Small,Dawn,0,0,0,125
Minor,1995.1.29,Approach,Large,Dawn,0,0,0,130
None,1995.2.3,Landing Roll,Large,Night,0,0,0,
Minor,1995.2.4,Approach,Large,Day,0,0,0,119
None,1995.2.4,Approach,Small,Day,0,0,0,120
Minor,1995.2.5,Approach,Large,Night,0,0,0,120
None,1995.2.5,Landing Roll,Medium,Day,0,0,0,
None,1995.2.8,Approach,Medium,Day,0,0,0,130
None,1995.2.8,Approach,Medium,Night,0,0,0,130
None,1995.2.9,Climb,Medium,Dusk,0,0,0,150
Medium,1995.2.10,Landing Roll,Medium,Day,0,0,0,165
None,1995.2.11,Landing Roll,Medium,Day,0,0,0,120
None,1995.2.15,Take-off run,Small,Day,0,0,0,100
None,1995.2.17,Approach,Medium,Night,0,0,0,150
None,1995.2.18,Climb,Small,Dusk,0,0,0,140
None,1995.2.20,Climb,Medium,Night,0,0,0,150
Minor,1995.2.21,Descent,Large,Night,0,0,0,210
Substantial,1995.2.23,Climb,Medium,Night,0,0,0,170
None,1995.2.27,Climb,Medium,Day,0,0,0,
None,1995.2.27,Take-off run,Small,Day,0,0,0,135
None,1995.2.28,Approach,Medium,Day,0,0,0,
Minor,1995.3.1,Descent,Medium,Night,0,0,0,250
None,1995.3.1,Climb,Small,Day,0,0,0,140
None,1995.3.3,Approach,Small,Day,0,0,0,135
None,1995.3.4,Approach,Large,Night,0,0,0,120
None,1995.3.5,Landing Roll,Medium,Day,0,0,0,
None,1995.3.6,Take-off run,Large,Day,0,0,0,90
None,1995.3.6,Approach,Large,Night,0,0,0,120
None,1995.3.6,Approach,Small,Night,0,0,0,210
None,1995.3.7,Approach,Medium,Night,0,0,0,145
None,1995.3.7,Landing Roll,Small,Night,0,0,0,130
None,1995.3.9,Climb,Medium,Night,0,0,0,
None,1995.3.9,Approach,Small,Night,0,0,0,130
Minor,1995.3.13,Climb,Large,Night,0,0,0,210
None,1995.3.13,Climb,Large,Night,0,0,0,250
None,1995.3.13,Climb,Medium,Day,0,0,0,150
None,1995.3.13,Approach,Medium,Night,0,0,0,250
None,1995.3.14,Descent,Large,Night,0,0,0,250
None,1995.3.14,Approach,Medium,Day,0,0,0,
None,1995.3.14,Landing Roll,Medium,Day,0,0,0,
None,1995.3.14,Landing Roll,Medium,Day,0,0,0,
None,1995.3.14,Approach,Medium,Night,0,0,0,190
None,1995.3.14,Descent,Medium,Night,0,0,0,205
Minor,1995.3.15,Climb,Large,Day,0,0,0,170
None,1995.3.15,Take-off run,Medium,Day,0,0,0,
Minor,1995.3.16,Approach,Small,Night,0,0,0,220
None,1995.3.17,Landing Roll,Small,Day,0,0,0,130
Substantial,1995.3.19,Approach,Large,Night,0,0,0,
None,1995.3.19,Approach,Medium,Night,0,0,0,160
None,1995.3.19,Climb,Medium,Night,0,0,0,250
None,1995.3.19,Descent,Medium,Night,0,0,0,170
None,1995.3.20,Take-off run,Large,Day,0,0,0,
None,1995.3.20,Climb,Small,Night,0,0,0,
None,1995.3.21,Landing Roll,Large,Dawn,305,0,305,130
None,1995.3.21,Climb,Medium,Day,0,0,0,160
None,1995.3.21,Take-off run,Medium,Day,0,0,0,125
None,1995.3.21,Approach,Small,Night,0,0,0,250
None,1995.3.22,Take-off run,Large,Night,0,0,0,20
None,1995.3.24,Climb,Small,Day,0,0,0,150
None,1995.3.25,Approach,Large,Night,0,0,0,
Minor,1995.3.25,Approach,Small,Night,0,0,0,160
Substantial,1995.3.26,Descent,Large,Day,0,0,0,250
Minor,1995.3.27,Take-off run,Medium,Day,0,0,0,
Minor,1995.3.27,Approach,Medium,Night,0,0,0,
None,1995.3.27,Approach,Medium,Night,0,0,0,130
None,1995.3.30,Approach,Medium,Night,0,0,0,150
None,1995.3.31,Landing Roll,Medium,Day,0,0,0,80
None,1995.3.31,Take-off run,Medium,Dusk,0,0,0,130
Minor,1995.3.31,Climb,Medium,Night,0,0,0,200
None,1995.3.31,Approach,Small,Day,0,0,0,120
None,1995.4.2,Take-off run,Medium,Day,0,0,0,
None,1995.4.2,Take-off run,Small,Day,0,0,0,120
Minor,1995.4.3,Climb,Large,Night,0,0,0,250
None,1995.4.3,Take-off run,Medium,Day,0,0,0,120
None,1995.4.3,Take-off run,Medium,Day,0,0,0,
None,1995.4.3,Approach,Small,Dusk,0,0,0,130
None,1995.4.4,Take-off run,Medium,Dawn,0,0,0,150
None,1995.4.4,Approach,Small,Day,0,0,0,130
None,1995.4.4,Climb,Small,Day,0,0,0,145
None,1995.4.4,Climb,Small,Day,0,0,0,140
None,1995.4.4,Landing Roll,Small,Day,0,0,0,100
None,1995.4.5,Approach,Medium,Day,0,0,0,150
None,1995.4.5,Approach,Medium,Night,0,0,0,140
None,1995.4.5,Take-off run,Small,Day,0,0,0,
None,1995.4.8,Landing Roll,Medium,Day,0,0,0,
None,1995.4.9,Landing Roll,Small,Day,0,0,0,100
None,1995.4.11,Descent,Large,Night,0,0,0,250
None,1995.4.11,Climb,Medium,Day,0,0,0,160
None,1995.4.12,Take-off run,Medium,Day,0,0,0,
None,1995.4.12,Approach,Medium,Night,0,0,0,140
None,1995.4.12,Approach,Small,Day,0,0,0,138
None,1995.4.13,Approach,Medium,Day,0,0,0,250
None,1995.4.13,Approach,Medium,Dusk,0,0,0,
None,1995.4.13,Climb,Small,Night,0,0,0,160
Minor,1995.4.14,Landing Roll,Large,Day,0,0,0,
None,1995.4.14,Approach,Medium,Night,0,0,0,130
None,1995.4.14,Approach,Small,Day,0,0,0,160
None,1995.4.16,Climb,Small,Night,0,0,0,190
None,1995.4.17,Approach,Medium,Night,0,0,0,230
None,1995.4.17,Approach,Small,Day,0,0,0,140
None,1995.4.17,Approach,Small,Day,0,0,0,120
None,1995.4.17,Take-off run,Small,Day,0,0,0,
None,1995.4.18,Climb,Large,Day,0,0,0,80
None,1995.4.18,Climb,Large,Night,0,0,0,
None,1995.4.18,Landing Roll,Medium,Dawn,0,0,0,110
None,1995.4.18,Approach,Small,Day,0,0,0,140
None,1995.4.19,Take-off run,Medium,Day,0,0,0,120
None,1995.4.19,Approach,Medium,Night,0,0,0,145
None,1995.4.19,Landing Roll,Small,Day,0,0,0,120
None,1995.4.20,Climb,Large,Day,0,0,0,190
None,1995.4.20,Approach,Medium,Day,0,0,0,
None,1995.4.21,Landing Roll,Medium,Day,0,0,0,
None,1995.4.21,Take-off run,Medium,Day,0,0,0,
Minor,1995.4.21,Take-off run,Medium,Dusk,0,0,0,
None,1995.4.22,Approach,Small,Day,0,0,0,135
None,1995.4.22,Landing Roll,Small,Night,0,0,0,140
None,1995.4.24,Approach,Small,Day,0,0,0,
None,1995.4.25,Approach,Small,Day,0,0,0,140
None,1995.4.25,Landing Roll,Small,Day,0,0,0,80
Minor,1995.4.26,Climb,Medium,Day,0,0,0,180
Substantial,1995.4.26,Take-off run,Small,Day,0,0,0,150
None,1995.4.26,Landing Roll,Small,Night,0,0,0,155
None,1995.4.27,Approach,Large,Night,0,0,0,210
Minor,1995.4.27,Climb,Medium,Night,0,0,0,150
None,1995.4.27,Approach,Medium,Night,0,0,0,180
None,1995.4.27,Climb,Small,Day,0,0,0,145
None,1995.4.27,Take-off run,Small,Day,0,0,0,140
None,1995.4.28,Approach,Medium,Night,0,0,0,150
None,1995.4.28,Approach,Small,Day,0,0,0,
None,1995.4.28,Climb,Small,Day,0,0,0,150
None,1995.4.29,Take-off run,Small,Day,0,0,0,100
None,1995.4.30,Approach,Medium,Day,0,0,0,180
None,1995.4.30,Approach,Medium,Night,0,0,0,135
Minor,1995.5.3,Climb,Medium,Day,0,0,0,200
None,1995.5.3,Climb,Medium,Day,0,0,0,160
None,1995.5.3,Approach,Medium,Night,0,0,0,
None,1995.5.3,Approach,Medium,Night,0,0,0,137
None,1995.5.3,Approach,Medium,Night,0,0,0,145
None,1995.5.3,Climb,Medium,Night,0,0,0,120
None,1995.5.3,Take-off run,Small,Day,0,0,0,140
None,1995.5.3,Approach,Small,Night,0,0,0,210
None,1995.5.3,Climb,Small,Night,0,0,0,140
Minor,1995.5.4,Climb,Medium,Night,0,0,0,300
None,1995.5.4,Approach,Medium,Night,0,0,0,220
None,1995.5.4,Approach,Small,Night,0,0,0,140
None,1995.5.4,Approach,Small,Night,0,0,0,
None,1995.5.5,Climb,Medium,Dawn,0,0,0,
None,1995.5.5,Landing Roll,Medium,Day,0,0,0,135
None,1995.5.6,Approach,Medium,Day,0,0,0,130
None,1995.5.7,Take-off run,Small,Day,0,0,0,
None,1995.5.8,Approach,Small,Night,0,0,0,230
Medium,1995.5.9,Climb,Large,Day,0,0,0,200
None,1995.5.9,Approach,Large,Night,0,0,0,210
None,1995.5.9,Landing Roll,Medium,Day,0,0,0,
None,1995.5.9,Climb,Medium,Night,0,0,0,200
None,1995.5.9,Climb,Small,Dusk,0,0,0,
None,1995.5.10,Approach,Medium,Night,0,0,0,210
None,1995.5.10,Descent,Medium,Night,0,0,0,210
None,1995.5.10,Approach,Small,Day,0,0,0,210
None,1995.5.12,Approach,Medium,Day,0,0,0,140
None,1995.5.12,Approach,Medium,Night,0,0,0,145
None,1995.5.13,Approach,Medium,Day,0,0,0,
None,1995.5.13,Approach,Small,Day,0,0,0,140
None,1995.5.14,Approach,Small,Day,0,0,0,130
None,1995.5.15,Approach,Small,Dawn,0,0,0,135
None,1995.5.15,Approach,Small,Day,0,0,0,130
None,1995.5.15,Approach,Small,Night,0,0,0,130
None,1995.5.16,Approach,Medium,Dusk,0,0,0,135
None,1995.5.16,Approach,Medium,Night,0,0,0,210
None,1995.5.16,Climb,Medium,Night,0,0,0,190
None,1995.5.16,Approach,Small,Night,0,0,0,135
None,1995.5.17,Climb,Medium,Night,0,0,0,200
None,1995.5.17,Descent,Small,Day,0,0,0,190
None,1995.5.17,Approach,Small,Night,0,0,0,190
None,1995.5.18,Approach,Small,Day,0,0,0,140
None,1995.5.19,Landing Roll,Small,Day,0,0,0,120
None,1995.5.20,Approach,Small,Night,0,0,0,130
Minor,1995.5.21,Approach,Large,Dusk,0,0,0,140
None,1995.5.22,Approach,Small,Day,0,0,0,
None,1995.5.22,Climb,Small,Day,0,0,0,170
None,1995.5.22,Take-off run,Small,Dusk,0,0,0,
None,1995.5.22,Approach,Small,Night,0,0,0,210
None,1995.5.23,Climb,Small,Day,0,0,0,130
None,1995.5.23,Landing Roll,Small,Day,0,0,0,
None,1995.5.24,Climb,Large,Day,0,0,0,153
None,1995.5.24,Landing Roll,Medium,Day,0,0,0,100
None,1995.5.24,Descent,Medium,Night,0,0,0,210
None,1995.5.24,Approach,Small,Night,0,0,0,210
None,1995.5.25,Climb,Medium,Day,0,0,0,130
None,1995.5.25,Landing Roll,Medium,Day,0,0,0,
None,1995.5.25,Landing Roll,Small,Day,0,0,0,90
None,1995.5.26,Approach,Large,Dawn,0,0,0,90
None,1995.5.26,Take-off run,Small,Day,0,0,0,
Minor,1995.5.27,Climb,Large,Day,0,0,0,140
Minor,1995.5.28,Take-off run,Large,Day,0,0,0,
None,1995.5.28,Climb,Large,Dusk,0,0,0,160
Substantial,1995.5.30,Take-off run,Large,Day,0,0,0,80
None,1995.5.30,Approach,Small,Day,0,0,0,145
None,1995.5.30,Climb,Small,Day,0,0,0,154
None,1995.5.30,Landing Roll,Small,Day,0,0,0,125
None,1995.5.31,Landing Roll,Medium,Day,0,0,0,
None,1995.5.31,Approach,Medium,Night,0,0,0,130
None,1995.6.2,Climb,Medium,Day,0,0,0,220
None,1995.6.4,Landing Roll,Medium,Day,0,0,0,
None,1995.6.4,Landing Roll,Medium,Night,0,0,0,80
None,1995.6.5,Climb,Medium,Day,0,0,0,
None,1995.6.6,Take-off run,Medium,Dusk,0,0,0,132
None,1995.6.7,Approach,Medium,Day,0,0,0,
None,1995.6.7,Take-off run,Small,Night,0,0,0,100
None,1995.6.8,Landing Roll,Medium,Day,0,0,0,
Substantial,1995.6.9,Climb,Medium,Day,0,0,0,160
None,1995.6.9,Approach,Medium,Day,0,0,0,138
None,1995.6.9,Approach,Small,Day,0,0,0,135
None,1995.6.9,Climb,Small,Day,0,0,0,170
None,1995.6.10,Approach,Small,Day,0,0,0,140
None,1995.6.11,Approach,Small,Day,0,0,0,
None,1995.6.11,Approach,Small,Day,0,0,0,
None,1995.6.11,Approach,Small,Day,0,0,0,120
None,1995.6.13,Take-off run,Small,Day,0,0,0,
None,1995.6.15,Approach,Small,Day,0,0,0,140
Substantial,1995.6.16,Take-off run,Medium,Day,0,0,0,130
None,1995.6.16,Take-off run,Medium,Day,0,0,0,
None,1995.6.17,Climb,Medium,Day,0,0,0,150
Minor,1995.6.18,Climb,Small,Day,0,0,0,140
None,1995.6.19,Climb,Medium,Day,0,0,0,
None,1995.6.19,Landing Roll,Medium,Day,0,0,0,
None,1995.6.20,Take-off run,Small,Day,0,0,0,
None,1995.6.21,Landing Roll,Medium,Day,0,0,0,130
None,1995.6.21,Landing Roll,Small,Day,0,0,0,130
None,1995.6.22,Landing Roll,Small,Dusk,0,0,0,
None,1995.6.23,Take-off run,Medium,Day,0,0,0,
None,1995.6.23,Landing Roll,Small,Day,0,0,0,140
None,1995.6.24,Landing Roll,Small,Day,0,0,0,
None,1995.6.24,Approach,Small,Dusk,0,0,0,145
None,1995.6.26,Landing Roll,Small,Day,0,0,0,
None,1995.6.26,Landing Roll,Small,Night,0,0,0,110
None,1995.6.27,Landing Roll,Medium,Day,0,0,0,
None,1995.6.27,Take-off run,Medium,Day,0,0,0,130
None,1995.6.28,Approach,Medium,Day,0,0,0,
None,1995.6.28,Approach,Medium,Day,0,0,0,125
None,1995.6.28,Approach,Medium,Day,0,0,0,130
None,1995.6.28,Take-off run,Medium,Day,0,0,0,
None,1995.6.29,Landing Roll,Small,Night,0,0,0,100
None,1995.6.30,Landing Roll,Medium,Dusk,0,0,0,
None,1995.6.30,Landing Roll,Small,Day,0,0,0,100
None,1995.7.1,Approach,Small,Dusk,0,0,0,140
None,1995.7.2,Landing Roll,Medium,Day,0,0,0,
None,1995.7.3,Take-off run,Small,Day,0,0,0,
Medium,1995.7.5,Approach,Medium,Day,0,0,0,135
None,1995.7.5,Take-off run,Small,Day,0,0,0,100
Substantial,1995.7.6,Take-off run,Medium,Day,0,0,0,
None,1995.7.6,Take-off run,Small,Day,0,0,0,
None,1995.7.7,Approach,Large,Night,0,0,0,
None,1995.7.7,Landing Roll,Large,Night,0,0,0,
None,1995.7.7,Descent,Medium,Day,0,0,0,280
None,1995.7.7,Take-off run,Medium,Day,0,0,0,
Substantial,1995.7.8,Descent,Medium,Day,0,0,0,
None,1995.7.8,Approach,Small,Day,0,0,0,140
None,1995.7.8,Landing Roll,Small,Day,0,0,0,120
None,1995.7.9,Approach,Large,Day,0,0,0,130
None,1995.7.10,Climb,Medium,Day,0,0,0,
None,1995.7.10,Take-off run,Small,Dawn,0,0,0,100
None,1995.7.10,Take-off run,Small,Day,0,0,0,130
None,1995.7.11,Landing Roll,Small,Day,0,0,0,
None,1995.7.12,Take-off run,Medium,Day,0,0,0,
None,1995.7.12,Approach,Small,Day,0,0,0,141
None,1995.7.12,Take-off run,Small,Day,0,0,0,120
None,1995.7.12,Take-off run,Small,Day,0,0,0,120
None,1995.7.13,Landing Roll,Small,Day,0,0,0,
None,1995.7.13,Take-off run,Small,Day,0,0,0,120
None,1995.7.15,Approach,Small,Day,0,0,0,140
None,1995.7.16,Approach,Large,Day,0,0,0,120
Substantial,1995.7.16,Approach,Medium,Dawn,0,0,0,175
None,1995.7.16,Climb,Medium,Day,0,0,0,160
None,1995.7.16,Landing Roll,Medium,Day,0,0,0,80
None,1995.7.16,Landing Roll,Medium,Night,0,0,0,
None,1995.7.17,Approach,Small,Day,0,0,0,160
None,1995.7.17,Landing Roll,Small,Day,0,0,0,
None,1995.7.17,Approach,Small,Night,0,0,0,150
None,1995.7.18,Approach,Medium,Day,0,0,0,150
None,1995.7.18,Take-off run,Medium,Day,0,0,0,
None,1995.7.18,Take-off run,Medium,Dusk,0,0,0,135
None,1995.7.18,Approach,Small,Day,0,0,0,180
None,1995.7.18,Landing Roll,Small,Day,0,0,0,60
None,1995.7.20,Approach,Small,Night,0,0,0,250
None,1995.7.21,Take-off run,Large,Day,0,0,0,
None,1995.7.21,Approach,Small,Day,0,0,0,140
None,1995.7.21,Take-off run,Small,Day,0,0,0,110
None,1995.7.21,Approach,Small,Night,0,0,0,120
None,1995.7.21,Approach,Small,Night,0,0,0,145
None,1995.7.22,Approach,Small,Day,0,0,0,125
None,1995.7.22,Climb,Small,Day,0,0,0,160
None,1995.7.22,Landing Roll,Small,Dusk,0,0,0,120
None,1995.7.23,Approach,Small,Day,0,0,0,140
None,1995.7.23,Approach,Small,Day,0,0,0,140
None,1995.7.24,Landing Roll,Medium,Day,0,0,0,80
None,1995.7.24,Climb,Medium,Dusk,0,0,0,
None,1995.7.24,Approach,Small,Day,0,0,0,135
None,1995.7.25,Climb,Medium,Day,0,0,0,170
None,1995.7.25,Take-off run,Medium,Day,0,0,0,
None,1995.7.25,Take-off run,Small,Day,0,0,0,
None,1995.7.27,Approach,Small,Day,0,0,0,120
None,1995.7.27,Approach,Small,Dusk,0,0,0,120
None,1995.7.28,Landing Roll,Small,Day,0,0,0,70
None,1995.7.28,Approach,Small,Night,0,0,0,140
None,1995.7.29,Taxi,Medium,Day,0,0,0,
None,1995.7.29,Approach,Small,Day,0,0,0,130
None,1995.7.29,Landing Roll,Small,Day,0,0,0,
None,1995.7.29,Landing Roll,Small,Night,0,0,0,100
None,1995.7.30,Climb,Medium,Night,0,0,0,200
None,1995.7.30,Approach,Small,Night,0,0,0,120
None,1995.7.31,Approach,Large,Night,0,0,0,
None,1995.7.31,Climb,Medium,Day,0,0,0,
None,1995.7.31,Approach,Small,Day,0,0,0,120
None,1995.7.31,Climb,Small,Day,0,0,0,120
Substantial,1995.8.1,Approach,Large,Dawn,304926,0,304926,136
None,1995.8.1,Climb,Medium,Day,0,0,0,250
None,1995.8.1,Landing Roll,Medium,Day,0,0,0,100
None,1995.8.1,Approach,Medium,Night,0,0,0,140
None,1995.8.1,Approach,Small,Day,0,0,0,
None,1995.8.1,Landing Roll,Small,Day,0,0,0,140
None,1995.8.2,Approach,Large,Night,0,0,0,130
None,1995.8.2,Climb,Small,Day,0,0,0,160
None,1995.8.2,Landing Roll,Small,Day,0,0,0,
None,1995.8.3,Approach,Small,Dawn,0,0,0,140
None,1995.8.3,Approach,Small,Day,0,0,0,151
None,1995.8.3,Take-off run,Small,Day,0,0,0,
None,1995.8.3,Take-off run,Small,Day,0,0,0,120
None,1995.8.3,Take-off run,Small,Day,0,0,0,100
C,1995.8.4,Approach,Medium,Day,0,69282,69282,230
None,1995.8.4,Climb,Medium,Day,0,0,0,90
None,1995.8.4,Landing Roll,Medium,Day,0,0,0,90
None,1995.8.4,Approach,Small,Day,0,0,0,140
None,1995.8.4,Landing Roll,Small,Day,0,0,0,130
None,1995.8.5,Approach,Small,Day,0,0,0,140
None,1995.8.6,Approach,Small,Day,0,0,0,160
None,1995.8.6,Take-off run,Small,Day,0,0,0,
None,1995.8.7,Climb,Medium,Day,0,0,0,150
None,1995.8.7,Take-off run,Medium,Day,0,0,0,150
None,1995.8.7,Landing Roll,Small,Day,0,0,0,120
None,1995.8.8,Landing Roll,Medium,Dawn,0,0,0,100
None,1995.8.8,Climb,Small,Day,0,0,0,
None,1995.8.8,Take-off run,Small,Day,0,0,0,140
None,1995.8.9,Approach,Small,Day,0,0,0,130
None,1995.8.9,Climb,Small,Day,0,0,0,180
None,1995.8.9,Landing Roll,Small,Day,0,0,0,140
None,1995.8.9,Take-off run,Small,Night,0,0,0,20
None,1995.8.10,Landing Roll,Medium,Day,0,0,0,137
None,1995.8.10,Approach,Small,Day,0,0,0,130
None,1995.8.10,Approach,Small,Day,0,0,0,
None,1995.8.10,Approach,Small,Day,0,0,0,140
None,1995.8.10,Landing Roll,Small,Night,0,0,0,130
None,1995.8.11,Approach,Medium,Day,0,0,0,
None,1995.8.11,Take-off run,Small,Day,0,0,0,120
None,1995.8.12,Approach,Medium,Day,0,0,0,140
None,1995.8.12,Approach,Medium,Night,0,0,0,
None,1995.8.12,Climb,Small,Day,0,0,0,150
Minor,1995.8.13,Approach,Large,Night,0,0,0,130
None,1995.8.13,Landing Roll,Medium,Night,0,0,0,120
None,1995.8.14,Approach,Small,Day,0,0,0,120
None,1995.8.15,Take-off run,Medium,Night,0,0,0,145
None,1995.8.15,Approach,Small,Day,0,0,0,125
None,1995.8.16,Approach,Medium,Day,0,0,0,135
None,1995.8.16,Approach,Small,Day,0,0,0,160
None,1995.8.16,Climb,Small,Day,0,0,0,140
None,1995.8.16,Take-off run,Small,Day,0,0,0,
None,1995.8.17,Approach,Large,Day,0,0,0,130
None,1995.8.17,Approach,Small,Day,0,0,0,140
None,1995.8.17,Landing Roll,Small,Day,0,0,0,100
None,1995.8.18,Take-off run,Small,Day,0,0,0,
None,1995.8.19,Climb,Small,Day,0,0,0,110
Minor,1995.8.21,Descent,Large,Day,0,0,0,280
Substantial,1995.8.22,Approach,Large,Dusk,0,76232,76232,
None,1995.8.22,Approach,Medium,Day,0,0,0,140
None,1995.8.22,Descent,Medium,Day,0,0,0,250
None,1995.8.22,Climb,Medium,Night,0,0,0,170
None,1995.8.23,Approach,Medium,Day,0,0,0,120
None,1995.8.23,Take-off run,Small,Day,0,0,0,
